Walk_length, testing_percentage, Micro-f1, Macro-f1
3, 0.1, 0.313, 0.176
3, 0.2, 0.415, 0.28
3, 0.30000000000000004, 0.489, 0.36
3, 0.4, 0.487, 0.353
3, 0.5, 0.515, 0.379
3, 0.6, 0.519, 0.355
3, 0.7000000000000001, 0.511, 0.363
3, 0.8, 0.516, 0.402
3, 0.9, 0.596, 0.427
8, 0.1, 0.689, 0.482
8, 0.2, 0.797, 0.662
8, 0.30000000000000004, 0.913, 0.834
8, 0.4, 0.946, 0.932
8, 0.5, 0.922, 0.838
8, 0.6, 0.973, 0.915
8, 0.7000000000000001, 0.95, 0.918
8, 0.8, 0.968, 0.957
8, 0.9, 1.0, 1.0
10, 0.1, 0.663, 0.546
10, 0.2, 0.851, 0.723
10, 0.30000000000000004, 0.96, 0.953
10, 0.4, 0.953, 0.934
10, 0.5, 0.983, 0.938
10, 0.6, 0.941, 0.886
10, 0.7000000000000001, 0.935, 0.861
10, 0.8, 0.925, 0.913
10, 0.9, 0.936, 0.871
20, 0.1, 0.764, 0.588
20, 0.2, 0.854, 0.78
20, 0.30000000000000004, 0.913, 0.826
20, 0.4, 0.968, 0.937
20, 0.5, 0.983, 0.947
20, 0.6, 0.984, 0.979
20, 0.7000000000000001, 0.978, 0.984
20, 0.8, 1.0, 1.0
