Walk_length, testing_percentage, Micro-f1, Macro-f1
3, 0.1, 0.614, 0.258
3, 0.2, 0.688, 0.348
3, 0.30000000000000004, 0.68, 0.377
3, 0.4, 0.806, 0.48
3, 0.5, 0.757, 0.43
3, 0.6, 0.774, 0.446
3, 0.7000000000000001, 0.825, 0.484
3, 0.8, 0.726, 0.517
3, 0.9, 0.786, 0.493
8, 0.1, 0.992, 0.958
8, 0.2, 0.991, 0.963
8, 0.30000000000000004, 0.997, 0.986
8, 0.4, 0.992, 0.965
8, 0.5, 0.99, 0.919
8, 0.6, 0.994, 0.96
8, 0.7000000000000001, 0.992, 0.958
8, 0.8, 0.988, 0.76
8, 0.9, 1.0, 1.0
10, 0.1, 0.958, 0.591
10, 0.2, 0.991, 0.963
10, 0.30000000000000004, 0.99, 0.952
10, 0.4, 0.996, 0.987
10, 0.5, 1.0, 1.0
10, 0.6, 0.994, 0.97
10, 0.7000000000000001, 1.0, 1.0
10, 0.8, 1.0, 1.0
10, 0.9, 1.0, 1.0
20, 0.1, 0.958, 0.59
20, 0.2, 0.979, 0.731
20, 0.30000000000000004, 0.993, 0.97
20, 0.4, 0.996, 0.986
20, 0.5, 0.986, 0.942
20, 0.6, 0.994, 0.976
20, 0.7000000000000001, 1.0, 1.0
20, 0.8, 0.988, 0.797
